NO_SEQ_COLL,JR_SEMN_ACCDN,DT_ACCDN,CD_MUNCP,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,BORNE_KM_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,NB_METRE_DIST_ACCD,CD_GENRE_ACCDN,CD_SIT_PRTCE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,NO_ROUTE,CD_CATEG_ROUTE,CD_ETAT_CHASS,CD_ASPCT_ROUTE,CD_LOCLN_ACCDN,CD_POSI_ACCDN,CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_PNT_CDRNL_ROUTE,CD_PNT_CDRNL_REPRR,CD_COND_METEO,NB_VEH_IMPLIQUES_ACCDN,NB_MORTS,NB_BLESSES_GRAVES,NB_BLESSES_LEGERS,HEURE_ACCDN,AN,NB_VICTIMES_TOTAL,GRAVITE,REG_ADM,MRC,nb_automobile_camion_leger,nb_camionLourd_tractRoutier,nb_outil_equipement,nb_tous_autobus_minibus,nb_bicyclette,nb_cyclomoteur,nb_motocyclette,nb_taxi,nb_urgence,nb_motoneige,nb_VHR,nb_autres_types,nb_veh_non_precise,NB_DECES_PIETON,NB_BLESSES_PIETON,NB_VICTIMES_PIETON,NB_DECES_MOTO,NB_BLESSES_MOTO,NB_VICTIMES_MOTO,NB_DECES_VELO,NB_BLESSES_VELO,NB_VICTIMES_VELO,VITESSE_AUTOR,LOC_X,LOC_Y,LOC_COTE_QD,LOC_COTE_PD,LOC_DETACHEE,LOC_IMPRECISION,LOC_LONG,LOC_LAT
SPVM _ 2012 _ 1,ME,2012/02/01,"66102","3501",,,ST CHARLES,"2",STAT,,"31",,"16","1","1",,"21",,"11","33",,"4",,,,"11","2","0","0","0",Non précisé,"2012","0",Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,276517.3795,5035127.484,A,"3",O,N,-73.861616,45.455505
SPVM _ 2012 _ 10,MA,2012/01/03,"66023",,,,TERR VILLE DE MTL,,,,"31",,"11",,,,,,,,,,,,,"11","2","0","0","0",Non précisé,"2012","0",Dommages matériels seulement,Montréal(06),Montréal (66 ),"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,275209.46185,5038619.3752,B,"4",N,N,-73.878549,45.486871
SPVM _ 2012 _ 100,VE,2012/02/24,"66023",,,,JACQUES BIZARD,"1",CHERRIER,,"31",,"11","3","3",,"13",,"21","32",,"1",,,E,"11","2","0","0","0",02:00:00-02:59:00,"2012","0",Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50",275759.079,5039027.153,A,"1",N,O,-73.871542,45.490564
SPVM _ 2012 _ 1000,JE,2012/10/11,"66142","11800",,,BD SALABERRY,,,,"31",,"11","1","3",,"21",,"11","40",,"2",,,,"11","2","0","0","0",15:00:00-15:59:00,"2012","0",Dommages matériels seulement,Montréal(06),Montréal (66 ),"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,280970.09315,5038347.803,A,"1",O,N,-73.804841,45.484648
SPVM _ 2012 _ 10000,DI,2012/04/22,"66023","38",,,PL DU COMMERCE,,,,"31",,"12","1","3",,"21",,"11","40",,,,,,"12","2","0","0","0",15:00:00-15:59:00,"2012","0",Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,301391.47638,5036357.3492,A,"1",O,N,-73.543590,45.467136
SPVM _ 2012 _ 10001,DI,2012/04/22,"66023","3735",,,WELLINGTON,"1",REGINA,"50","33",,"12","3","3",,"14","1","11","34","6","2",,,O,"14","2","0","0","1",21:00:00-21:59:00,"2012","1",Léger,Montréal(06),Montréal (66 ),"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","40",299583,5036234,A,"1",N,N,-73.566716,45.466014
SPVM _ 2012 _ 10002,ME,2012/04/25,"66023","262",,,COROT,,,,"31",,,,,,,,,,,,,,,,"2","0","0","0",00:00:00-00:59:00,"2012","0",Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","40",301538.54941,5035428.1078,A,"1",N,N,-73.541703,45.458774
SPVM _ 2012 _ 10003,JE,2012/04/26,"66023","876",,,1RE AV,,,,"31",,"11","1","2",,"14",,"11","34",,"1",,,,"11","2","0","0","0",07:00:00-07:59:00,"2012","0",Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,298930.98573,5035429.986,A,"1",N,N,-73.575044,45.458774
SPVM _ 2012 _ 10004,JE,2012/04/26,"66023",,,,OSBORNE,"1",BEURLING,,"31",,"11","1","2",,"13","1","11","32","6",,,,S,"12","2","0","0","0",15:00:00-15:59:00,"2012","0",Dommages matériels seulement,Montréal(06),Montréal (66 ),"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,298343.59301,5034657.267,A,"1",N,N,-73.582545,45.451816
SPVM _ 2012 _ 10005,LU,2012/04/30,"66023",,,,GERTRUDE,"2",DE L EGLISE,"20",,,"11","3","2",,"14",,"11","34",,"1",,,E,"11","2","0","0","0",Non précisé,"2012","0",Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,299389,5035884.5,A,"2",N,N,-73.569193,45.462868
SPVM _ 2012 _ 10006,LU,2012/04/30,"66023",,,,,,,,"31",,"11","1","3",,"13",,"11","34",,"2",,,,"11","2","0","0","0",17:00:00-17:59:00,"2012","0",Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,299787.78784,5035216.4538,C,"4",N,N,-73.564087,45.456860
